case,activity,timestamp,enabled_activities
20,b,2019-01-01T13:01:00+00:00,"b, g"
20,f,2019-01-01T13:02:00+00:00,f
21,a,2019-01-01T13:00:00+00:00,a
21,b,2019-01-01T13:01:00+00:00,"b, g"
21,f,2019-01-01T13:02:00+00:00,f
22,a,2019-01-01T13:00:00+00:00,a
22,b,2019-01-01T13:01:00+00:00,"b, g"
22,f,2019-01-01T13:02:00+00:00,f
23,a,2019-01-01T13:00:00+00:00,a
23,b,2019-01-01T13:01:00+00:00,"b, g"
23,f,2019-01-01T13:02:00+00:00,f
24,a,2019-01-01T13:00:00+00:00,a
24,b,2019-01-01T13:01:00+00:00,"b, g"
24,f,2019-01-01T13:02:00+00:00,f
25,a,2019-01-01T13:00:00+00:00,a
25,b,2019-01-01T13:01:00+00:00,"b, g"
25,f,2019-01-01T13:02:00+00:00,f
26,a,2019-01-01T13:00:00+00:00,a
26,b,2019-01-01T13:01:00+00:00,"b, g"
26,f,2019-01-01T13:02:00+00:00,f
27,a,2019-01-01T13:00:00+00:00,a
27,b,2019-01-01T13:01:00+00:00,"b, g"
27,f,2019-01-01T13:02:00+00:00,f
28,a,2019-01-01T13:00:00+00:00,a
28,b,2019-01-01T13:01:00+00:00,"b, g"
28,f,2019-01-01T13:02:00+00:00,f
29,a,2019-01-01T13:00:00+00:00,a
29,b,2019-01-01T13:01:00+00:00,"b, g"
29,f,2019-01-01T13:02:00+00:00,f
30,a,2019-01-01T13:00:00+00:00,a
30,b,2019-01-01T13:01:00+00:00,"b, g"
30,f,2019-01-01T13:02:00+00:00,f
31,a,2019-01-01T13:00:00+00:00,a
31,b,2019-01-01T13:01:00+00:00,"b, g"
31,f,2019-01-01T13:02:00+00:00,f
32,a,2019-01-01T13:00:00+00:00,a
32,b,2019-01-01T13:01:00+00:00,"b, g"
32,f,2019-01-01T13:02:00+00:00,f
33,a,2019-01-01T13:00:00+00:00,a
33,b,2019-01-01T13:01:00+00:00,"b, g"
33,f,2019-01-01T13:02:00+00:00,f
34,a,2019-01-01T13:00:00+00:00,a
34,b,2019-01-01T13:01:00+00:00,"b, g"
34,f,2019-01-01T13:02:00+00:00,f
35,a,2019-01-01T13:00:00+00:00,a
35,b,2019-01-01T13:01:00+00:00,"b, g"
35,f,2019-01-01T13:02:00+00:00,f
36,a,2019-01-01T13:00:00+00:00,a
36,b,2019-01-01T13:01:00+00:00,"b, g"
36,f,2019-01-01T13:02:00+00:00,f
37,a,2019-01-01T13:00:00+00:00,a
37,b,2019-01-01T13:01:00+00:00,"b, g"
37,f,2019-01-01T13:02:00+00:00,f
38,a,2019-01-01T13:00:00+00:00,a
38,b,2019-01-01T13:01:00+00:00,"b, g"
38,f,2019-01-01T13:02:00+00:00,f
39,a,2019-01-01T13:00:00+00:00,a
39,b,2019-01-01T13:01:00+00:00,"b, g"
39,f,2019-01-01T13:02:00+00:00,f
40,a,2019-01-01T13:00:00+00:00,a
40,b,2019-01-01T13:01:00+00:00,"b, g"
40,f,2019-01-01T13:02:00+00:00,f
41,a,2019-01-01T13:00:00+00:00,a
41,b,2019-01-01T13:01:00+00:00,"b, g"
41,f,2019-01-01T13:02:00+00:00,f
42,a,2019-01-01T13:00:00+00:00,a
42,b,2019-01-01T13:01:00+00:00,"b, g"
42,f,2019-01-01T13:02:00+00:00,f
43,a,2019-01-01T13:00:00+00:00,a
43,b,2019-01-01T13:01:00+00:00,"b, g"
43,f,2019-01-01T13:02:00+00:00,f
44,a,2019-01-01T13:00:00+00:00,a
44,b,2019-01-01T13:01:00+00:00,"b, g"
44,f,2019-01-01T13:02:00+00:00,f
45,a,2019-01-01T13:00:00+00:00,a
45,b,2019-01-01T13:01:00+00:00,"b, g"
45,f,2019-01-01T13:02:00+00:00,f
46,a,2019-01-01T13:00:00+00:00,a
46,b,2019-01-01T13:01:00+00:00,"b, g"
46,f,2019-01-01T13:02:00+00:00,f
47,a,2019-01-01T13:00:00+00:00,a
47,b,2019-01-01T13:01:00+00:00,"b, g"
47,f,2019-01-01T13:02:00+00:00,f
48,a,2019-01-01T13:00:00+00:00,a
48,b,2019-01-01T13:01:00+00:00,"b, g"
48,f,2019-01-01T13:02:00+00:00,f
49,a,2019-01-01T13:00:00+00:00,a
49,b,2019-01-01T13:01:00+00:00,"b, g"
49,f,2019-01-01T13:02:00+00:00,f
50,a,2019-01-01T13:00:00+00:00,a
50,b,2019-01-01T13:01:00+00:00,"b, g"
50,f,2019-01-01T13:02:00+00:00,f
51,a,2019-01-01T13:00:00+00:00,a
51,b,2019-01-01T13:01:00+00:00,"b, g"
51,f,2019-01-01T13:02:00+00:00,f
52,a,2019-01-01T13:00:00+00:00,a
52,b,2019-01-01T13:01:00+00:00,"b, g"
52,f,2019-01-01T13:02:00+00:00,f
53,a,2019-01-01T13:00:00+00:00,a
53,b,2019-01-01T13:01:00+00:00,"b, g"
53,f,2019-01-01T13:02:00+00:00,f
54,a,2019-01-01T13:00:00+00:00,a
54,b,2019-01-01T13:01:00+00:00,"b, g"
54,f,2019-01-01T13:02:00+00:00,f
55,a,2019-01-01T13:00:00+00:00,a
55,b,2019-01-01T13:01:00+00:00,"b, g"
55,f,2019-01-01T13:02:00+00:00,f
56,a,2019-01-01T13:00:00+00:00,a
56,b,2019-01-01T13:01:00+00:00,"b, g"
56,f,2019-01-01T13:02:00+00:00,f
57,a,2019-01-01T13:00:00+00:00,a
57,b,2019-01-01T13:01:00+00:00,"b, g"
57,f,2019-01-01T13:02:00+00:00,f
58,a,2019-01-01T13:00:00+00:00,a
58,b,2019-01-01T13:01:00+00:00,"b, g"
58,f,2019-01-01T13:02:00+00:00,f
59,a,2019-01-01T13:00:00+00:00,a
59,b,2019-01-01T13:01:00+00:00,"b, g"
59,f,2019-01-01T13:02:00+00:00,f
60,a,2019-01-01T13:00:00+00:00,a
60,b,2019-01-01T13:01:00+00:00,"b, g"
60,f,2019-01-01T13:02:00+00:00,f
61,a,2019-01-01T13:00:00+00:00,a
61,b,2019-01-01T13:01:00+00:00,"b, g"
61,f,2019-01-01T13:02:00+00:00,f
62,a,2019-01-01T13:00:00+00:00,a
62,b,2019-01-01T13:01:00+00:00,"b, g"
62,f,2019-01-01T13:02:00+00:00,f
63,a,2019-01-01T13:00:00+00:00,a
63,b,2019-01-01T13:01:00+00:00,"b, g"
63,f,2019-01-01T13:02:00+00:00,f
64,a,2019-01-01T13:00:00+00:00,a
64,b,2019-01-01T13:01:00+00:00,"b, g"
64,f,2019-01-01T13:02:00+00:00,f
65,a,2019-01-01T13:00:00+00:00,a
65,b,2019-01-01T13:01:00+00:00,"b, g"
65,f,2019-01-01T13:02:00+00:00,f
66,a,2019-01-01T13:00:00+00:00,a
66,b,2019-01-01T13:01:00+00:00,"b, g"
66,f,2019-01-01T13:02:00+00:00,f
67,a,2019-01-01T13:00:00+00:00,a
67,b,2019-01-01T13:01:00+00:00,"b, g"
67,f,2019-01-01T13:02:00+00:00,f
68,a,2019-01-01T13:00:00+00:00,a
68,b,2019-01-01T13:01:00+00:00,"b, g"
68,f,2019-01-01T13:02:00+00:00,f
69,a,2019-01-01T13:00:00+00:00,a
69,b,2019-01-01T13:01:00+00:00,"b, g"
69,f,2019-01-01T13:02:00+00:00,f
70,a,2019-01-01T13:00:00+00:00,a
70,b,2019-01-01T13:01:00+00:00,"b, g"
70,f,2019-01-01T13:02:00+00:00,f
71,a,2019-01-01T13:00:00+00:00,a
71,b,2019-01-01T13:01:00+00:00,"b, g"
71,f,2019-01-01T13:02:00+00:00,f
72,a,2019-01-01T13:00:00+00:00,a
72,b,2019-01-01T13:01:00+00:00,"b, g"
72,f,2019-01-01T13:02:00+00:00,f
73,a,2019-01-01T13:00:00+00:00,a
73,b,2019-01-01T13:01:00+00:00,"b, g"
73,f,2019-01-01T13:02:00+00:00,f
74,a,2019-01-01T13:00:00+00:00,a
74,b,2019-01-01T13:01:00+00:00,"b, g"
74,f,2019-01-01T13:02:00+00:00,f
75,a,2019-01-01T13:00:00+00:00,a
75,b,2019-01-01T13:01:00+00:00,"b, g"
75,f,2019-01-01T13:02:00+00:00,f
76,a,2019-01-01T13:00:00+00:00,a
76,b,2019-01-01T13:01:00+00:00,"b, g"
76,f,2019-01-01T13:02:00+00:00,f
77,a,2019-01-01T13:00:00+00:00,a
77,b,2019-01-01T13:01:00+00:00,"b, g"
77,f,2019-01-01T13:02:00+00:00,f
78,a,2019-01-01T13:00:00+00:00,a
78,b,2019-01-01T13:01:00+00:00,"b, g"
78,f,2019-01-01T13:02:00+00:00,f
79,a,2019-01-01T13:00:00+00:00,a
79,b,2019-01-01T13:01:00+00:00,"b, g"
79,f,2019-01-01T13:02:00+00:00,f
80,a,2019-01-01T13:00:00+00:00,a
80,b,2019-01-01T13:01:00+00:00,"b, g"
80,f,2019-01-01T13:02:00+00:00,f
81,a,2019-01-01T13:00:00+00:00,a
81,b,2019-01-01T13:01:00+00:00,"b, g"
81,f,2019-01-01T13:02:00+00:00,f
82,a,2019-01-01T13:00:00+00:00,a
82,b,2019-01-01T13:01:00+00:00,"b, g"
82,f,2019-01-01T13:02:00+00:00,f
83,a,2019-01-01T13:00:00+00:00,a
83,b,2019-01-01T13:01:00+00:00,"b, g"
83,f,2019-01-01T13:02:00+00:00,f
84,a,2019-01-01T13:00:00+00:00,a
84,b,2019-01-01T13:01:00+00:00,"b, g"
84,f,2019-01-01T13:02:00+00:00,f
85,a,2019-01-01T13:00:00+00:00,a
85,b,2019-01-01T13:01:00+00:00,"b, g"
85,f,2019-01-01T13:02:00+00:00,f
86,a,2019-01-01T13:00:00+00:00,a
86,b,2019-01-01T13:01:00+00:00,"b, g"
86,f,2019-01-01T13:02:00+00:00,f
87,a,2019-01-01T13:00:00+00:00,a
87,b,2019-01-01T13:01:00+00:00,"b, g"
87,f,2019-01-01T13:02:00+00:00,f
88,a,2019-01-01T13:00:00+00:00,a
88,b,2019-01-01T13:01:00+00:00,"b, g"
88,f,2019-01-01T13:02:00+00:00,f
89,a,2019-01-01T13:00:00+00:00,a
89,b,2019-01-01T13:01:00+00:00,"b, g"
89,f,2019-01-01T13:02:00+00:00,f
90,a,2019-01-01T13:00:00+00:00,a
90,b,2019-01-01T13:01:00+00:00,"b, g"
90,f,2019-01-01T13:02:00+00:00,f
91,a,2019-01-01T13:00:00+00:00,a
91,b,2019-01-01T13:01:00+00:00,"b, g"
91,f,2019-01-01T13:02:00+00:00,f
92,a,2019-01-01T13:00:00+00:00,a
92,b,2019-01-01T13:01:00+00:00,"b, g"
92,f,2019-01-01T13:02:00+00:00,f
93,a,2019-01-01T13:00:00+00:00,a
93,b,2019-01-01T13:01:00+00:00,"b, g"
93,f,2019-01-01T13:02:00+00:00,f
94,a,2019-01-01T13:00:00+00:00,a
94,b,2019-01-01T13:01:00+00:00,"b, g"
94,f,2019-01-01T13:02:00+00:00,f
95,a,2019-01-01T13:00:00+00:00,a
95,b,2019-01-01T13:01:00+00:00,"b, g"
95,f,2019-01-01T13:02:00+00:00,f
96,a,2019-01-01T13:00:00+00:00,a
96,b,2019-01-01T13:01:00+00:00,"b, g"
96,f,2019-01-01T13:02:00+00:00,f
97,a,2019-01-01T13:00:00+00:00,a
97,b,2019-01-01T13:01:00+00:00,"b, g"
97,f,2019-01-01T13:02:00+00:00,f
98,a,2019-01-01T13:00:00+00:00,a
98,b,2019-01-01T13:01:00+00:00,"b, g"
98,f,2019-01-01T13:02:00+00:00,f
99,a,2019-01-01T13:00:00+00:00,a
99,b,2019-01-01T13:01:00+00:00,"b, g"
99,f,2019-01-01T13:02:00+00:00,f
100,a,2019-01-01T13:00:00+00:00,a
100,g,2019-01-01T13:01:00+00:00,"b, g"
