case,activity,timestamp,enabled_activities
21,d,2019-01-01T13:03:00+00:00,"d, e"
21,e,2019-01-01T13:04:00+00:00,e
21,f,2019-01-01T13:05:00+00:00,f
22,a,2019-01-01T13:00:00+00:00,a
22,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
22,c,2019-01-01T13:02:00+00:00,"c, d, e"
22,d,2019-01-01T13:03:00+00:00,"d, e"
22,e,2019-01-01T13:04:00+00:00,e
22,f,2019-01-01T13:05:00+00:00,f
23,a,2019-01-01T13:00:00+00:00,a
23,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
23,c,2019-01-01T13:02:00+00:00,"c, d, e"
23,d,2019-01-01T13:03:00+00:00,"d, e"
23,e,2019-01-01T13:04:00+00:00,e
23,f,2019-01-01T13:05:00+00:00,f
24,a,2019-01-01T13:00:00+00:00,a
24,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
24,c,2019-01-01T13:02:00+00:00,"c, d, e"
24,d,2019-01-01T13:03:00+00:00,"d, e"
24,e,2019-01-01T13:04:00+00:00,e
24,f,2019-01-01T13:05:00+00:00,f
25,a,2019-01-01T13:00:00+00:00,a
25,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
25,c,2019-01-01T13:02:00+00:00,"c, d, e"
25,d,2019-01-01T13:03:00+00:00,"d, e"
25,e,2019-01-01T13:04:00+00:00,e
25,f,2019-01-01T13:05:00+00:00,f
26,a,2019-01-01T13:00:00+00:00,a
26,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
26,c,2019-01-01T13:02:00+00:00,"c, d, e"
26,d,2019-01-01T13:03:00+00:00,"d, e"
26,e,2019-01-01T13:04:00+00:00,e
26,f,2019-01-01T13:05:00+00:00,f
27,a,2019-01-01T13:00:00+00:00,a
27,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
27,c,2019-01-01T13:02:00+00:00,"c, d, e"
27,d,2019-01-01T13:03:00+00:00,"d, e"
27,e,2019-01-01T13:04:00+00:00,e
27,f,2019-01-01T13:05:00+00:00,f
28,a,2019-01-01T13:00:00+00:00,a
28,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
28,c,2019-01-01T13:02:00+00:00,"c, d, e"
28,d,2019-01-01T13:03:00+00:00,"d, e"
28,e,2019-01-01T13:04:00+00:00,e
28,f,2019-01-01T13:05:00+00:00,f
29,a,2019-01-01T13:00:00+00:00,a
29,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
29,c,2019-01-01T13:02:00+00:00,"c, d, e"
29,d,2019-01-01T13:03:00+00:00,"d, e"
29,e,2019-01-01T13:04:00+00:00,e
29,f,2019-01-01T13:05:00+00:00,f
30,a,2019-01-01T13:00:00+00:00,a
30,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
30,c,2019-01-01T13:02:00+00:00,"c, d, e"
30,d,2019-01-01T13:03:00+00:00,"d, e"
30,e,2019-01-01T13:04:00+00:00,e
30,f,2019-01-01T13:05:00+00:00,f
31,a,2019-01-01T13:00:00+00:00,a
31,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
31,c,2019-01-01T13:02:00+00:00,"c, d, e"
31,d,2019-01-01T13:03:00+00:00,"d, e"
31,e,2019-01-01T13:04:00+00:00,e
31,f,2019-01-01T13:05:00+00:00,f
32,a,2019-01-01T13:00:00+00:00,a
32,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
32,c,2019-01-01T13:02:00+00:00,"c, d, e"
32,d,2019-01-01T13:03:00+00:00,"d, e"
32,e,2019-01-01T13:04:00+00:00,e
32,f,2019-01-01T13:05:00+00:00,f
33,a,2019-01-01T13:00:00+00:00,a
33,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
33,c,2019-01-01T13:02:00+00:00,"c, d, e"
33,d,2019-01-01T13:03:00+00:00,"d, e"
33,e,2019-01-01T13:04:00+00:00,e
33,f,2019-01-01T13:05:00+00:00,f
34,a,2019-01-01T13:00:00+00:00,a
34,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
34,c,2019-01-01T13:02:00+00:00,"c, d, e"
34,d,2019-01-01T13:03:00+00:00,"d, e"
34,e,2019-01-01T13:04:00+00:00,e
34,f,2019-01-01T13:05:00+00:00,f
35,a,2019-01-01T13:00:00+00:00,a
35,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
35,c,2019-01-01T13:02:00+00:00,"c, d, e"
35,d,2019-01-01T13:03:00+00:00,"d, e"
35,e,2019-01-01T13:04:00+00:00,e
35,f,2019-01-01T13:05:00+00:00,f
36,a,2019-01-01T13:00:00+00:00,a
36,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
36,c,2019-01-01T13:02:00+00:00,"c, d, e"
36,d,2019-01-01T13:03:00+00:00,"d, e"
36,e,2019-01-01T13:04:00+00:00,e
36,f,2019-01-01T13:05:00+00:00,f
37,a,2019-01-01T13:00:00+00:00,a
37,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
37,c,2019-01-01T13:02:00+00:00,"c, d, e"
37,d,2019-01-01T13:03:00+00:00,"d, e"
37,e,2019-01-01T13:04:00+00:00,e
37,f,2019-01-01T13:05:00+00:00,f
38,a,2019-01-01T13:00:00+00:00,a
38,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
38,c,2019-01-01T13:02:00+00:00,"c, d, e"
38,d,2019-01-01T13:03:00+00:00,"d, e"
38,e,2019-01-01T13:04:00+00:00,e
38,f,2019-01-01T13:05:00+00:00,f
39,a,2019-01-01T13:00:00+00:00,a
39,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
39,c,2019-01-01T13:02:00+00:00,"c, d, e"
39,d,2019-01-01T13:03:00+00:00,"d, e"
39,e,2019-01-01T13:04:00+00:00,e
39,f,2019-01-01T13:05:00+00:00,f
40,a,2019-01-01T13:00:00+00:00,a
40,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
40,c,2019-01-01T13:02:00+00:00,"c, d, e"
40,d,2019-01-01T13:03:00+00:00,"d, e"
40,e,2019-01-01T13:04:00+00:00,e
40,f,2019-01-01T13:05:00+00:00,f
41,a,2019-01-01T13:00:00+00:00,a
41,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
41,c,2019-01-01T13:02:00+00:00,"c, d, e"
41,d,2019-01-01T13:03:00+00:00,"d, e"
41,e,2019-01-01T13:04:00+00:00,e
41,f,2019-01-01T13:05:00+00:00,f
42,a,2019-01-01T13:00:00+00:00,a
42,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
42,c,2019-01-01T13:02:00+00:00,"c, d, e"
42,d,2019-01-01T13:03:00+00:00,"d, e"
42,e,2019-01-01T13:04:00+00:00,e
42,f,2019-01-01T13:05:00+00:00,f
43,a,2019-01-01T13:00:00+00:00,a
43,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
43,c,2019-01-01T13:02:00+00:00,"c, d, e"
43,d,2019-01-01T13:03:00+00:00,"d, e"
43,e,2019-01-01T13:04:00+00:00,e
43,f,2019-01-01T13:05:00+00:00,f
44,a,2019-01-01T13:00:00+00:00,a
44,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
44,c,2019-01-01T13:02:00+00:00,"c, d, e"
44,d,2019-01-01T13:03:00+00:00,"d, e"
44,e,2019-01-01T13:04:00+00:00,e
44,f,2019-01-01T13:05:00+00:00,f
45,a,2019-01-01T13:00:00+00:00,a
45,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
45,c,2019-01-01T13:02:00+00:00,"c, d, e"
45,d,2019-01-01T13:03:00+00:00,"d, e"
45,e,2019-01-01T13:04:00+00:00,e
45,f,2019-01-01T13:05:00+00:00,f
46,a,2019-01-01T13:00:00+00:00,a
46,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
46,c,2019-01-01T13:02:00+00:00,"c, d, e"
46,d,2019-01-01T13:03:00+00:00,"d, e"
46,e,2019-01-01T13:04:00+00:00,e
46,f,2019-01-01T13:05:00+00:00,f
47,a,2019-01-01T13:00:00+00:00,a
47,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
47,c,2019-01-01T13:02:00+00:00,"c, d, e"
47,d,2019-01-01T13:03:00+00:00,"d, e"
47,e,2019-01-01T13:04:00+00:00,e
47,f,2019-01-01T13:05:00+00:00,f
48,a,2019-01-01T13:00:00+00:00,a
48,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
48,c,2019-01-01T13:02:00+00:00,"c, d, e"
48,d,2019-01-01T13:03:00+00:00,"d, e"
48,e,2019-01-01T13:04:00+00:00,e
48,f,2019-01-01T13:05:00+00:00,f
49,a,2019-01-01T13:00:00+00:00,a
49,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
49,c,2019-01-01T13:02:00+00:00,"c, d, e"
49,d,2019-01-01T13:03:00+00:00,"d, e"
49,e,2019-01-01T13:04:00+00:00,e
49,f,2019-01-01T13:05:00+00:00,f
50,a,2019-01-01T13:00:00+00:00,a
50,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
50,c,2019-01-01T13:02:00+00:00,"c, d, e"
50,d,2019-01-01T13:03:00+00:00,"d, e"
50,e,2019-01-01T13:04:00+00:00,e
50,f,2019-01-01T13:05:00+00:00,f
51,a,2019-01-01T13:00:00+00:00,a
51,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
51,c,2019-01-01T13:02:00+00:00,"c, d, e"
51,d,2019-01-01T13:03:00+00:00,"d, e"
51,e,2019-01-01T13:04:00+00:00,e
51,f,2019-01-01T13:05:00+00:00,f
52,a,2019-01-01T13:00:00+00:00,a
52,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
52,c,2019-01-01T13:02:00+00:00,"c, d, e"
52,d,2019-01-01T13:03:00+00:00,"d, e"
52,e,2019-01-01T13:04:00+00:00,e
52,f,2019-01-01T13:05:00+00:00,f
53,a,2019-01-01T13:00:00+00:00,a
53,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
53,c,2019-01-01T13:02:00+00:00,"c, d, e"
53,d,2019-01-01T13:03:00+00:00,"d, e"
53,e,2019-01-01T13:04:00+00:00,e
53,f,2019-01-01T13:05:00+00:00,f
54,a,2019-01-01T13:00:00+00:00,a
54,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
54,c,2019-01-01T13:02:00+00:00,"c, d, e"
54,d,2019-01-01T13:03:00+00:00,"d, e"
54,e,2019-01-01T13:04:00+00:00,e
54,f,2019-01-01T13:05:00+00:00,f
55,a,2019-01-01T13:00:00+00:00,a
55,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
55,c,2019-01-01T13:02:00+00:00,"c, d, e"
55,d,2019-01-01T13:03:00+00:00,"d, e"
55,e,2019-01-01T13:04:00+00:00,e
55,f,2019-01-01T13:05:00+00:00,f
56,a,2019-01-01T13:00:00+00:00,a
56,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
56,c,2019-01-01T13:02:00+00:00,"c, d, e"
56,d,2019-01-01T13:03:00+00:00,"d, e"
56,e,2019-01-01T13:04:00+00:00,e
56,f,2019-01-01T13:05:00+00:00,f
57,a,2019-01-01T13:00:00+00:00,a
57,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
57,c,2019-01-01T13:02:00+00:00,"c, d, e"
57,d,2019-01-01T13:03:00+00:00,"d, e"
57,e,2019-01-01T13:04:00+00:00,e
57,f,2019-01-01T13:05:00+00:00,f
58,a,2019-01-01T13:00:00+00:00,a
58,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
58,c,2019-01-01T13:02:00+00:00,"c, d, e"
58,d,2019-01-01T13:03:00+00:00,"d, e"
58,e,2019-01-01T13:04:00+00:00,e
58,f,2019-01-01T13:05:00+00:00,f
59,a,2019-01-01T13:00:00+00:00,a
59,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
59,c,2019-01-01T13:02:00+00:00,"c, d, e"
59,d,2019-01-01T13:03:00+00:00,"d, e"
59,e,2019-01-01T13:04:00+00:00,e
59,f,2019-01-01T13:05:00+00:00,f
60,a,2019-01-01T13:00:00+00:00,a
60,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
60,c,2019-01-01T13:02:00+00:00,"c, d, e"
60,d,2019-01-01T13:03:00+00:00,"d, e"
60,e,2019-01-01T13:04:00+00:00,e
60,f,2019-01-01T13:05:00+00:00,f
61,a,2019-01-01T13:00:00+00:00,a
61,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
61,c,2019-01-01T13:02:00+00:00,"c, d, e"
61,d,2019-01-01T13:03:00+00:00,"d, e"
61,e,2019-01-01T13:04:00+00:00,e
61,f,2019-01-01T13:05:00+00:00,f
62,a,2019-01-01T13:00:00+00:00,a
62,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
62,c,2019-01-01T13:02:00+00:00,"c, d, e"
62,d,2019-01-01T13:03:00+00:00,"d, e"
62,e,2019-01-01T13:04:00+00:00,e
62,f,2019-01-01T13:05:00+00:00,f
63,a,2019-01-01T13:00:00+00:00,a
63,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
63,c,2019-01-01T13:02:00+00:00,"c, d, e"
63,d,2019-01-01T13:03:00+00:00,"d, e"
63,e,2019-01-01T13:04:00+00:00,e
63,f,2019-01-01T13:05:00+00:00,f
64,a,2019-01-01T13:00:00+00:00,a
64,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
64,c,2019-01-01T13:02:00+00:00,"c, d, e"
64,d,2019-01-01T13:03:00+00:00,"d, e"
64,e,2019-01-01T13:04:00+00:00,e
64,f,2019-01-01T13:05:00+00:00,f
65,a,2019-01-01T13:00:00+00:00,a
65,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
65,c,2019-01-01T13:02:00+00:00,"c, d, e"
65,d,2019-01-01T13:03:00+00:00,"d, e"
65,e,2019-01-01T13:04:00+00:00,e
65,f,2019-01-01T13:05:00+00:00,f
66,a,2019-01-01T13:00:00+00:00,a
66,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
66,c,2019-01-01T13:02:00+00:00,"c, d, e"
66,d,2019-01-01T13:03:00+00:00,"d, e"
66,e,2019-01-01T13:04:00+00:00,e
66,f,2019-01-01T13:05:00+00:00,f
67,a,2019-01-01T13:00:00+00:00,a
67,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
67,c,2019-01-01T13:02:00+00:00,"c, d, e"
67,d,2019-01-01T13:03:00+00:00,"d, e"
67,e,2019-01-01T13:04:00+00:00,e
67,f,2019-01-01T13:05:00+00:00,f
68,a,2019-01-01T13:00:00+00:00,a
68,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
68,c,2019-01-01T13:02:00+00:00,"c, d, e"
68,d,2019-01-01T13:03:00+00:00,"d, e"
68,e,2019-01-01T13:04:00+00:00,e
68,f,2019-01-01T13:05:00+00:00,f
69,a,2019-01-01T13:00:00+00:00,a
69,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
69,c,2019-01-01T13:02:00+00:00,"c, d, e"
69,d,2019-01-01T13:03:00+00:00,"d, e"
69,e,2019-01-01T13:04:00+00:00,e
69,f,2019-01-01T13:05:00+00:00,f
70,a,2019-01-01T13:00:00+00:00,a
70,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
70,c,2019-01-01T13:02:00+00:00,"c, d, e"
70,d,2019-01-01T13:03:00+00:00,"d, e"
70,e,2019-01-01T13:04:00+00:00,e
70,f,2019-01-01T13:05:00+00:00,f
71,a,2019-01-01T13:00:00+00:00,a
71,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
71,c,2019-01-01T13:02:00+00:00,"c, d, e"
71,d,2019-01-01T13:03:00+00:00,"d, e"
71,e,2019-01-01T13:04:00+00:00,e
71,f,2019-01-01T13:05:00+00:00,f
72,a,2019-01-01T13:00:00+00:00,a
72,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
72,c,2019-01-01T13:02:00+00:00,"c, d, e"
72,d,2019-01-01T13:03:00+00:00,"d, e"
72,e,2019-01-01T13:04:00+00:00,e
72,f,2019-01-01T13:05:00+00:00,f
73,a,2019-01-01T13:00:00+00:00,a
73,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
73,c,2019-01-01T13:02:00+00:00,"c, d, e"
73,d,2019-01-01T13:03:00+00:00,"d, e"
73,e,2019-01-01T13:04:00+00:00,e
73,f,2019-01-01T13:05:00+00:00,f
74,a,2019-01-01T13:00:00+00:00,a
74,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
74,c,2019-01-01T13:02:00+00:00,"c, d, e"
74,d,2019-01-01T13:03:00+00:00,"d, e"
74,e,2019-01-01T13:04:00+00:00,e
74,f,2019-01-01T13:05:00+00:00,f
75,a,2019-01-01T13:00:00+00:00,a
75,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
75,c,2019-01-01T13:02:00+00:00,"c, d, e"
75,d,2019-01-01T13:03:00+00:00,"d, e"
75,e,2019-01-01T13:04:00+00:00,e
75,f,2019-01-01T13:05:00+00:00,f
76,a,2019-01-01T13:00:00+00:00,a
76,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
76,c,2019-01-01T13:02:00+00:00,"c, d, e"
76,d,2019-01-01T13:03:00+00:00,"d, e"
76,e,2019-01-01T13:04:00+00:00,e
76,f,2019-01-01T13:05:00+00:00,f
77,a,2019-01-01T13:00:00+00:00,a
77,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
77,c,2019-01-01T13:02:00+00:00,"c, d, e"
77,d,2019-01-01T13:03:00+00:00,"d, e"
77,e,2019-01-01T13:04:00+00:00,e
77,f,2019-01-01T13:05:00+00:00,f
78,a,2019-01-01T13:00:00+00:00,a
78,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
78,c,2019-01-01T13:02:00+00:00,"c, d, e"
78,d,2019-01-01T13:03:00+00:00,"d, e"
78,e,2019-01-01T13:04:00+00:00,e
78,f,2019-01-01T13:05:00+00:00,f
79,a,2019-01-01T13:00:00+00:00,a
79,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
79,c,2019-01-01T13:02:00+00:00,"c, d, e"
79,d,2019-01-01T13:03:00+00:00,"d, e"
79,e,2019-01-01T13:04:00+00:00,e
79,f,2019-01-01T13:05:00+00:00,f
80,a,2019-01-01T13:00:00+00:00,a
80,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
80,c,2019-01-01T13:02:00+00:00,"c, d, e"
80,d,2019-01-01T13:03:00+00:00,"d, e"
80,e,2019-01-01T13:04:00+00:00,e
80,f,2019-01-01T13:05:00+00:00,f
81,a,2019-01-01T13:00:00+00:00,a
81,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
81,c,2019-01-01T13:02:00+00:00,"c, d, e"
81,d,2019-01-01T13:03:00+00:00,"d, e"
81,e,2019-01-01T13:04:00+00:00,e
81,f,2019-01-01T13:05:00+00:00,f
82,a,2019-01-01T13:00:00+00:00,a
82,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
82,c,2019-01-01T13:02:00+00:00,"c, d, e"
82,d,2019-01-01T13:03:00+00:00,"d, e"
82,e,2019-01-01T13:04:00+00:00,e
82,f,2019-01-01T13:05:00+00:00,f
83,a,2019-01-01T13:00:00+00:00,a
83,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
83,c,2019-01-01T13:02:00+00:00,"c, d, e"
83,d,2019-01-01T13:03:00+00:00,"d, e"
83,e,2019-01-01T13:04:00+00:00,e
83,f,2019-01-01T13:05:00+00:00,f
84,a,2019-01-01T13:00:00+00:00,a
84,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
84,c,2019-01-01T13:02:00+00:00,"c, d, e"
84,d,2019-01-01T13:03:00+00:00,"d, e"
84,e,2019-01-01T13:04:00+00:00,e
84,f,2019-01-01T13:05:00+00:00,f
85,a,2019-01-01T13:00:00+00:00,a
85,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
85,c,2019-01-01T13:02:00+00:00,"c, d, e"
85,d,2019-01-01T13:03:00+00:00,"d, e"
85,e,2019-01-01T13:04:00+00:00,e
85,f,2019-01-01T13:05:00+00:00,f
86,a,2019-01-01T13:00:00+00:00,a
86,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
86,c,2019-01-01T13:02:00+00:00,"c, d, e"
86,d,2019-01-01T13:03:00+00:00,"d, e"
86,e,2019-01-01T13:04:00+00:00,e
86,f,2019-01-01T13:05:00+00:00,f
87,a,2019-01-01T13:00:00+00:00,a
87,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
87,c,2019-01-01T13:02:00+00:00,"c, d, e"
87,d,2019-01-01T13:03:00+00:00,"d, e"
87,e,2019-01-01T13:04:00+00:00,e
87,f,2019-01-01T13:05:00+00:00,f
88,a,2019-01-01T13:00:00+00:00,a
88,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
88,c,2019-01-01T13:02:00+00:00,"c, d, e"
88,d,2019-01-01T13:03:00+00:00,"d, e"
88,e,2019-01-01T13:04:00+00:00,e
88,f,2019-01-01T13:05:00+00:00,f
89,a,2019-01-01T13:00:00+00:00,a
89,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
89,c,2019-01-01T13:02:00+00:00,"c, d, e"
89,d,2019-01-01T13:03:00+00:00,"d, e"
89,e,2019-01-01T13:04:00+00:00,e
89,f,2019-01-01T13:05:00+00:00,f
90,a,2019-01-01T13:00:00+00:00,a
90,b,2019-01-01T13:01:00+00:00,"b, c, d, e"
