case,activity,timestamp,enabled_activities
7,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
7,d,2019-01-01T13:03:00+00:00,"d, e, g"
7,e,2019-01-01T13:04:00+00:00,"e, g"
7,f,2019-01-01T13:05:00+00:00,"f, g"
8,a,2019-01-01T13:00:00+00:00,a
8,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
8,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
8,d,2019-01-01T13:03:00+00:00,"d, e, g"
8,e,2019-01-01T13:04:00+00:00,"e, g"
8,f,2019-01-01T13:05:00+00:00,"f, g"
9,a,2019-01-01T13:00:00+00:00,a
9,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
9,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
9,d,2019-01-01T13:03:00+00:00,"d, e, g"
9,e,2019-01-01T13:04:00+00:00,"e, g"
9,f,2019-01-01T13:05:00+00:00,"f, g"
10,a,2019-01-01T13:00:00+00:00,a
10,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
10,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
10,d,2019-01-01T13:03:00+00:00,"d, e, g"
10,e,2019-01-01T13:04:00+00:00,"e, g"
10,f,2019-01-01T13:05:00+00:00,"f, g"
11,a,2019-01-01T13:00:00+00:00,a
11,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
11,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
11,d,2019-01-01T13:03:00+00:00,"d, e, g"
11,e,2019-01-01T13:04:00+00:00,"e, g"
11,f,2019-01-01T13:05:00+00:00,"f, g"
12,a,2019-01-01T13:00:00+00:00,a
12,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
12,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
12,d,2019-01-01T13:03:00+00:00,"d, e, g"
12,e,2019-01-01T13:04:00+00:00,"e, g"
12,f,2019-01-01T13:05:00+00:00,"f, g"
13,a,2019-01-01T13:00:00+00:00,a
13,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
13,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
13,d,2019-01-01T13:03:00+00:00,"d, e, g"
13,e,2019-01-01T13:04:00+00:00,"e, g"
13,f,2019-01-01T13:05:00+00:00,"f, g"
14,a,2019-01-01T13:00:00+00:00,a
14,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
14,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
14,d,2019-01-01T13:03:00+00:00,"d, e, g"
14,e,2019-01-01T13:04:00+00:00,"e, g"
14,f,2019-01-01T13:05:00+00:00,"f, g"
15,a,2019-01-01T13:00:00+00:00,a
15,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
15,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
15,d,2019-01-01T13:03:00+00:00,"d, e, g"
15,e,2019-01-01T13:04:00+00:00,"e, g"
15,f,2019-01-01T13:05:00+00:00,"f, g"
16,a,2019-01-01T13:00:00+00:00,a
16,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
16,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
16,d,2019-01-01T13:03:00+00:00,"d, e, g"
16,e,2019-01-01T13:04:00+00:00,"e, g"
16,f,2019-01-01T13:05:00+00:00,"f, g"
17,a,2019-01-01T13:00:00+00:00,a
17,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
17,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
17,d,2019-01-01T13:03:00+00:00,"d, e, g"
17,e,2019-01-01T13:04:00+00:00,"e, g"
17,f,2019-01-01T13:05:00+00:00,"f, g"
18,a,2019-01-01T13:00:00+00:00,a
18,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
18,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
18,d,2019-01-01T13:03:00+00:00,"d, e, g"
18,e,2019-01-01T13:04:00+00:00,"e, g"
18,f,2019-01-01T13:05:00+00:00,"f, g"
19,a,2019-01-01T13:00:00+00:00,a
19,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
19,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
19,d,2019-01-01T13:03:00+00:00,"d, e, g"
19,e,2019-01-01T13:04:00+00:00,"e, g"
19,f,2019-01-01T13:05:00+00:00,"f, g"
20,a,2019-01-01T13:00:00+00:00,a
20,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
20,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
20,d,2019-01-01T13:03:00+00:00,"d, e, g"
20,e,2019-01-01T13:04:00+00:00,"e, g"
20,f,2019-01-01T13:05:00+00:00,"f, g"
21,a,2019-01-01T13:00:00+00:00,a
21,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
21,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
21,d,2019-01-01T13:03:00+00:00,"d, e, g"
21,e,2019-01-01T13:04:00+00:00,"e, g"
21,f,2019-01-01T13:05:00+00:00,"f, g"
22,a,2019-01-01T13:00:00+00:00,a
22,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
22,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
22,d,2019-01-01T13:03:00+00:00,"d, e, g"
22,e,2019-01-01T13:04:00+00:00,"e, g"
22,f,2019-01-01T13:05:00+00:00,"f, g"
23,a,2019-01-01T13:00:00+00:00,a
23,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
23,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
23,d,2019-01-01T13:03:00+00:00,"d, e, g"
23,e,2019-01-01T13:04:00+00:00,"e, g"
23,f,2019-01-01T13:05:00+00:00,"f, g"
24,a,2019-01-01T13:00:00+00:00,a
24,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
24,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
24,d,2019-01-01T13:03:00+00:00,"d, e, g"
24,e,2019-01-01T13:04:00+00:00,"e, g"
24,f,2019-01-01T13:05:00+00:00,"f, g"
25,a,2019-01-01T13:00:00+00:00,a
25,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
25,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
25,d,2019-01-01T13:03:00+00:00,"d, e, g"
25,e,2019-01-01T13:04:00+00:00,"e, g"
25,f,2019-01-01T13:05:00+00:00,"f, g"
26,a,2019-01-01T13:00:00+00:00,a
26,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
26,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
26,d,2019-01-01T13:03:00+00:00,"d, e, g"
26,e,2019-01-01T13:04:00+00:00,"e, g"
26,f,2019-01-01T13:05:00+00:00,"f, g"
27,a,2019-01-01T13:00:00+00:00,a
27,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
27,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
27,d,2019-01-01T13:03:00+00:00,"d, e, g"
27,e,2019-01-01T13:04:00+00:00,"e, g"
27,f,2019-01-01T13:05:00+00:00,"f, g"
28,a,2019-01-01T13:00:00+00:00,a
28,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
28,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
28,d,2019-01-01T13:03:00+00:00,"d, e, g"
28,e,2019-01-01T13:04:00+00:00,"e, g"
28,f,2019-01-01T13:05:00+00:00,"f, g"
29,a,2019-01-01T13:00:00+00:00,a
29,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
29,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
29,d,2019-01-01T13:03:00+00:00,"d, e, g"
29,e,2019-01-01T13:04:00+00:00,"e, g"
29,f,2019-01-01T13:05:00+00:00,"f, g"
30,a,2019-01-01T13:00:00+00:00,a
30,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
30,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
30,d,2019-01-01T13:03:00+00:00,"d, e, g"
30,e,2019-01-01T13:04:00+00:00,"e, g"
30,f,2019-01-01T13:05:00+00:00,"f, g"
31,a,2019-01-01T13:00:00+00:00,a
31,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
31,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
31,d,2019-01-01T13:03:00+00:00,"d, e, g"
31,e,2019-01-01T13:04:00+00:00,"e, g"
31,f,2019-01-01T13:05:00+00:00,"f, g"
32,a,2019-01-01T13:00:00+00:00,a
32,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
32,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
32,d,2019-01-01T13:03:00+00:00,"d, e, g"
32,e,2019-01-01T13:04:00+00:00,"e, g"
32,f,2019-01-01T13:05:00+00:00,"f, g"
33,a,2019-01-01T13:00:00+00:00,a
33,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
33,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
33,d,2019-01-01T13:03:00+00:00,"d, e, g"
33,e,2019-01-01T13:04:00+00:00,"e, g"
33,f,2019-01-01T13:05:00+00:00,"f, g"
34,a,2019-01-01T13:00:00+00:00,a
34,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
34,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
34,d,2019-01-01T13:03:00+00:00,"d, e, g"
34,e,2019-01-01T13:04:00+00:00,"e, g"
34,f,2019-01-01T13:05:00+00:00,"f, g"
35,a,2019-01-01T13:00:00+00:00,a
35,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
35,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
35,d,2019-01-01T13:03:00+00:00,"d, e, g"
35,e,2019-01-01T13:04:00+00:00,"e, g"
35,f,2019-01-01T13:05:00+00:00,"f, g"
36,a,2019-01-01T13:00:00+00:00,a
36,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
36,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
36,d,2019-01-01T13:03:00+00:00,"d, e, g"
36,e,2019-01-01T13:04:00+00:00,"e, g"
36,f,2019-01-01T13:05:00+00:00,"f, g"
37,a,2019-01-01T13:00:00+00:00,a
37,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
37,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
37,d,2019-01-01T13:03:00+00:00,"d, e, g"
37,e,2019-01-01T13:04:00+00:00,"e, g"
37,f,2019-01-01T13:05:00+00:00,"f, g"
38,a,2019-01-01T13:00:00+00:00,a
38,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
38,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
38,d,2019-01-01T13:03:00+00:00,"d, e, g"
38,e,2019-01-01T13:04:00+00:00,"e, g"
38,f,2019-01-01T13:05:00+00:00,"f, g"
39,a,2019-01-01T13:00:00+00:00,a
39,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
39,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
39,d,2019-01-01T13:03:00+00:00,"d, e, g"
39,e,2019-01-01T13:04:00+00:00,"e, g"
39,f,2019-01-01T13:05:00+00:00,"f, g"
40,a,2019-01-01T13:00:00+00:00,a
40,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
40,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
40,d,2019-01-01T13:03:00+00:00,"d, e, g"
40,e,2019-01-01T13:04:00+00:00,"e, g"
40,f,2019-01-01T13:05:00+00:00,"f, g"
41,a,2019-01-01T13:00:00+00:00,a
41,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
41,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
41,d,2019-01-01T13:03:00+00:00,"d, e, g"
41,e,2019-01-01T13:04:00+00:00,"e, g"
41,f,2019-01-01T13:05:00+00:00,"f, g"
42,a,2019-01-01T13:00:00+00:00,a
42,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
42,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
42,d,2019-01-01T13:03:00+00:00,"d, e, g"
42,e,2019-01-01T13:04:00+00:00,"e, g"
42,f,2019-01-01T13:05:00+00:00,"f, g"
43,a,2019-01-01T13:00:00+00:00,a
43,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
43,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
43,d,2019-01-01T13:03:00+00:00,"d, e, g"
43,e,2019-01-01T13:04:00+00:00,"e, g"
43,f,2019-01-01T13:05:00+00:00,"f, g"
44,a,2019-01-01T13:00:00+00:00,a
44,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
44,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
44,d,2019-01-01T13:03:00+00:00,"d, e, g"
44,e,2019-01-01T13:04:00+00:00,"e, g"
44,f,2019-01-01T13:05:00+00:00,"f, g"
45,a,2019-01-01T13:00:00+00:00,a
45,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
45,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
45,d,2019-01-01T13:03:00+00:00,"d, e, g"
45,e,2019-01-01T13:04:00+00:00,"e, g"
45,f,2019-01-01T13:05:00+00:00,"f, g"
46,a,2019-01-01T13:00:00+00:00,a
46,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
46,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
46,d,2019-01-01T13:03:00+00:00,"d, e, g"
46,e,2019-01-01T13:04:00+00:00,"e, g"
46,f,2019-01-01T13:05:00+00:00,"f, g"
47,a,2019-01-01T13:00:00+00:00,a
47,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
47,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
47,d,2019-01-01T13:03:00+00:00,"d, e, g"
47,e,2019-01-01T13:04:00+00:00,"e, g"
47,f,2019-01-01T13:05:00+00:00,"f, g"
48,a,2019-01-01T13:00:00+00:00,a
48,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
48,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
48,d,2019-01-01T13:03:00+00:00,"d, e, g"
48,e,2019-01-01T13:04:00+00:00,"e, g"
48,f,2019-01-01T13:05:00+00:00,"f, g"
49,a,2019-01-01T13:00:00+00:00,a
49,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
49,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
49,d,2019-01-01T13:03:00+00:00,"d, e, g"
49,e,2019-01-01T13:04:00+00:00,"e, g"
49,f,2019-01-01T13:05:00+00:00,"f, g"
50,a,2019-01-01T13:00:00+00:00,a
50,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
50,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
50,d,2019-01-01T13:03:00+00:00,"d, e, g"
50,e,2019-01-01T13:04:00+00:00,"e, g"
50,f,2019-01-01T13:05:00+00:00,"f, g"
51,a,2019-01-01T13:00:00+00:00,a
51,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
51,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
51,d,2019-01-01T13:03:00+00:00,"d, e, g"
51,e,2019-01-01T13:04:00+00:00,"e, g"
51,f,2019-01-01T13:05:00+00:00,"f, g"
52,a,2019-01-01T13:00:00+00:00,a
52,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
52,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
52,d,2019-01-01T13:03:00+00:00,"d, e, g"
52,e,2019-01-01T13:04:00+00:00,"e, g"
52,f,2019-01-01T13:05:00+00:00,"f, g"
53,a,2019-01-01T13:00:00+00:00,a
53,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
53,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
53,d,2019-01-01T13:03:00+00:00,"d, e, g"
53,e,2019-01-01T13:04:00+00:00,"e, g"
53,f,2019-01-01T13:05:00+00:00,"f, g"
54,a,2019-01-01T13:00:00+00:00,a
54,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
54,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
54,d,2019-01-01T13:03:00+00:00,"d, e, g"
54,e,2019-01-01T13:04:00+00:00,"e, g"
54,f,2019-01-01T13:05:00+00:00,"f, g"
55,a,2019-01-01T13:00:00+00:00,a
55,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
55,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
55,d,2019-01-01T13:03:00+00:00,"d, e, g"
55,e,2019-01-01T13:04:00+00:00,"e, g"
55,f,2019-01-01T13:05:00+00:00,"f, g"
56,a,2019-01-01T13:00:00+00:00,a
56,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
56,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
56,d,2019-01-01T13:03:00+00:00,"d, e, g"
56,e,2019-01-01T13:04:00+00:00,"e, g"
56,f,2019-01-01T13:05:00+00:00,"f, g"
57,a,2019-01-01T13:00:00+00:00,a
57,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
57,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
57,d,2019-01-01T13:03:00+00:00,"d, e, g"
57,e,2019-01-01T13:04:00+00:00,"e, g"
57,f,2019-01-01T13:05:00+00:00,"f, g"
58,a,2019-01-01T13:00:00+00:00,a
58,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
58,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
58,d,2019-01-01T13:03:00+00:00,"d, e, g"
58,e,2019-01-01T13:04:00+00:00,"e, g"
58,f,2019-01-01T13:05:00+00:00,"f, g"
59,a,2019-01-01T13:00:00+00:00,a
59,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
59,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
59,d,2019-01-01T13:03:00+00:00,"d, e, g"
59,e,2019-01-01T13:04:00+00:00,"e, g"
59,f,2019-01-01T13:05:00+00:00,"f, g"
60,a,2019-01-01T13:00:00+00:00,a
60,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
60,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
60,d,2019-01-01T13:03:00+00:00,"d, e, g"
60,e,2019-01-01T13:04:00+00:00,"e, g"
60,f,2019-01-01T13:05:00+00:00,"f, g"
61,a,2019-01-01T13:00:00+00:00,a
61,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
61,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
61,d,2019-01-01T13:03:00+00:00,"d, e, g"
61,e,2019-01-01T13:04:00+00:00,"e, g"
61,f,2019-01-01T13:05:00+00:00,"f, g"
62,a,2019-01-01T13:00:00+00:00,a
62,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
62,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
62,d,2019-01-01T13:03:00+00:00,"d, e, g"
62,e,2019-01-01T13:04:00+00:00,"e, g"
62,f,2019-01-01T13:05:00+00:00,"f, g"
63,a,2019-01-01T13:00:00+00:00,a
63,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
63,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
63,d,2019-01-01T13:03:00+00:00,"d, e, g"
63,e,2019-01-01T13:04:00+00:00,"e, g"
63,f,2019-01-01T13:05:00+00:00,"f, g"
64,a,2019-01-01T13:00:00+00:00,a
64,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
64,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
64,d,2019-01-01T13:03:00+00:00,"d, e, g"
64,e,2019-01-01T13:04:00+00:00,"e, g"
64,f,2019-01-01T13:05:00+00:00,"f, g"
65,a,2019-01-01T13:00:00+00:00,a
65,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
65,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
65,d,2019-01-01T13:03:00+00:00,"d, e, g"
65,e,2019-01-01T13:04:00+00:00,"e, g"
65,f,2019-01-01T13:05:00+00:00,"f, g"
66,a,2019-01-01T13:00:00+00:00,a
66,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
66,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
66,d,2019-01-01T13:03:00+00:00,"d, e, g"
66,e,2019-01-01T13:04:00+00:00,"e, g"
66,f,2019-01-01T13:05:00+00:00,"f, g"
67,a,2019-01-01T13:00:00+00:00,a
67,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
67,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
67,d,2019-01-01T13:03:00+00:00,"d, e, g"
67,e,2019-01-01T13:04:00+00:00,"e, g"
67,f,2019-01-01T13:05:00+00:00,"f, g"
68,a,2019-01-01T13:00:00+00:00,a
68,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
68,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
68,d,2019-01-01T13:03:00+00:00,"d, e, g"
68,e,2019-01-01T13:04:00+00:00,"e, g"
68,f,2019-01-01T13:05:00+00:00,"f, g"
69,a,2019-01-01T13:00:00+00:00,a
69,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
69,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
69,d,2019-01-01T13:03:00+00:00,"d, e, g"
69,e,2019-01-01T13:04:00+00:00,"e, g"
69,f,2019-01-01T13:05:00+00:00,"f, g"
70,a,2019-01-01T13:00:00+00:00,a
70,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
70,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
70,d,2019-01-01T13:03:00+00:00,"d, e, g"
70,e,2019-01-01T13:04:00+00:00,"e, g"
70,f,2019-01-01T13:05:00+00:00,"f, g"
71,a,2019-01-01T13:00:00+00:00,a
71,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
71,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
71,d,2019-01-01T13:03:00+00:00,"d, e, g"
71,e,2019-01-01T13:04:00+00:00,"e, g"
71,f,2019-01-01T13:05:00+00:00,"f, g"
72,a,2019-01-01T13:00:00+00:00,a
72,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
72,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
72,d,2019-01-01T13:03:00+00:00,"d, e, g"
72,e,2019-01-01T13:04:00+00:00,"e, g"
72,f,2019-01-01T13:05:00+00:00,"f, g"
73,a,2019-01-01T13:00:00+00:00,a
73,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
73,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
73,d,2019-01-01T13:03:00+00:00,"d, e, g"
73,e,2019-01-01T13:04:00+00:00,"e, g"
73,f,2019-01-01T13:05:00+00:00,"f, g"
74,a,2019-01-01T13:00:00+00:00,a
74,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
74,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
74,d,2019-01-01T13:03:00+00:00,"d, e, g"
74,e,2019-01-01T13:04:00+00:00,"e, g"
74,f,2019-01-01T13:05:00+00:00,"f, g"
75,a,2019-01-01T13:00:00+00:00,a
75,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
75,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
75,d,2019-01-01T13:03:00+00:00,"d, e, g"
75,e,2019-01-01T13:04:00+00:00,"e, g"
75,f,2019-01-01T13:05:00+00:00,"f, g"
76,a,2019-01-01T13:00:00+00:00,a
76,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
76,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
76,d,2019-01-01T13:03:00+00:00,"d, e, g"
76,e,2019-01-01T13:04:00+00:00,"e, g"
76,f,2019-01-01T13:05:00+00:00,"f, g"
77,a,2019-01-01T13:00:00+00:00,a
77,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
77,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
77,d,2019-01-01T13:03:00+00:00,"d, e, g"
77,e,2019-01-01T13:04:00+00:00,"e, g"
77,f,2019-01-01T13:05:00+00:00,"f, g"
78,a,2019-01-01T13:00:00+00:00,a
78,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
78,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
78,d,2019-01-01T13:03:00+00:00,"d, e, g"
78,e,2019-01-01T13:04:00+00:00,"e, g"
78,f,2019-01-01T13:05:00+00:00,"f, g"
79,a,2019-01-01T13:00:00+00:00,a
79,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
79,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
79,d,2019-01-01T13:03:00+00:00,"d, e, g"
79,e,2019-01-01T13:04:00+00:00,"e, g"
79,f,2019-01-01T13:05:00+00:00,"f, g"
80,a,2019-01-01T13:00:00+00:00,a
80,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
80,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
80,d,2019-01-01T13:03:00+00:00,"d, e, g"
80,e,2019-01-01T13:04:00+00:00,"e, g"
80,f,2019-01-01T13:05:00+00:00,"f, g"
81,a,2019-01-01T13:00:00+00:00,a
81,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
81,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
81,d,2019-01-01T13:03:00+00:00,"d, e, g"
81,e,2019-01-01T13:04:00+00:00,"e, g"
81,f,2019-01-01T13:05:00+00:00,"f, g"
82,a,2019-01-01T13:00:00+00:00,a
82,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
82,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
82,d,2019-01-01T13:03:00+00:00,"d, e, g"
82,e,2019-01-01T13:04:00+00:00,"e, g"
82,f,2019-01-01T13:05:00+00:00,"f, g"
83,a,2019-01-01T13:00:00+00:00,a
